battle,country,result,source_url
Attack on Camp Massart,Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Camp_Massart
Battle of Napue,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Napue
Battle of Narva (1700),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Narva_(1700)
Battle of Neuensund,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Neuensund
Battle of Neukalen,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Neukalen
Battle of the Neva (1708),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_the_Neva_(1708)
Battle of the Neva,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_the_Neva
Battle of Nisko,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nisko
Capture of Novgorod (1611),Sweden,win,https://en.wikipedia.org/wiki/Capture_of_Novgorod_(1611)
Battle of Nowy Dwór Mazowiecki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nowy_Dwór_Mazowiecki
Battle of Nummijärvi,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nummijärvi
Battle of Nykarleby,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nykarleby
Offensive against Narva (1658),Sweden,win,https://en.wikipedia.org/wiki/Offensive_against_Narva_(1658)
Battle of Valkininkai (1706),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Valkininkai_(1706)
Operation Grandslam,Sweden,win,https://en.wikipedia.org/wiki/Operation_Grandslam
Operation Unokat,Sweden,win,https://en.wikipedia.org/wiki/Operation_Unokat
Battle of Oposhnya,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Oposhnya
Battle of Oravais,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Oravais
Battle of Palanga,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Palanga
Battle of Pälkäne,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pälkäne
Battle of Pälkjärvi,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pälkjärvi
Battle of Pardakoski–Kärnakoski,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pardakoski–Kärnakoski
Battle of Parkumäki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Parkumäki
Battle of Pasewalk,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pasewalk
Battle of Petschora,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Petschora
Battle of Piteå,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Piteå
Battle of Porrassalmi,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Porrassalmi
Battle of Poznań (1704),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Poznań_(1704)
Battle of Praga (1705),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Praga_(1705)
Battle of Prostki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Prostki
Battle of Pulkkila,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pulkkila
Battle of Pułtusk (1703),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pułtusk_(1703)
Battle of Poniec,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Poniec
Battle of Pyhäjoki,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pyhäjoki
Battle of Radom (1656),Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Radom_(1656)
Raid on Baltischport,Sweden,win,https://en.wikipedia.org/wiki/Raid_on_Baltischport
Battle of Rajovka,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rajovka
Battle of Rakkestad,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rakkestad
Battle of Rakvere (1603),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rakvere_(1603)
Rantzau's reconquest of Öland,Sweden,win,https://en.wikipedia.org/wiki/Rantzau's_reconquest_of_Öland
Battle of Ratan,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Ratan
Battle of Rauge,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rauge
Battle of Reinbek,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Reinbek
Battle of Reval (1602),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Reval_(1602)
Battle of Revolax,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Revolax
Battle of Rotebro,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rotebro
Battle of Ruona–Salmi,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Ruona–Salmi
Sack of Turku (1509),Sweden,win,https://en.wikipedia.org/wiki/Sack_of_Turku_(1509)
Standoff near St. Christopher,Sweden,win,https://en.wikipedia.org/wiki/Standoff_near_St._Christopher
Saint-Barthélemy affair,Sweden,win,https://en.wikipedia.org/wiki/Saint-Barthélemy_affair
Battle of Saločiai (1703),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Saločiai_(1703)
Battle of Sandomierz,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Sandomierz
Battle of Sävar,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Sävar
Battle of Savitaipal,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Savitaipal
Battle of Selburg,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Selburg
